2172517,AUD,オーストラリア,キャンベラ,/images/flag/flag011.png
2172517,AUD,オーストラリア,シドニー,/images/flag/flag011.png
2158177,AUD,オーストラリア,メルボルン,/images/flag/flag011.png
2179537,NZD,ニュージーランド,ウェリントン,/images/flag/flag135.png
2193733,NZD,ニュージーランド,オークランド,/images/flag/flag135.png
2198148,FJD,フィジー,スバ,/images/flag/flag064.png
7303944,USD,パラオ,マルキョク,/images/flag/flag143.png
7732415,USD,パラオ,コロール,/images/flag/flag143.png
4032402,TOP,トンガ,ヌクアロファ,/images/flag/flag188.png
2088122,PGK,パプアニューギニア,ポートモレスビー,/images/flag/flag146.png
2139521,XPF,ニューカレドニア,ヌメア,/images/flag/flag066.png
