1835848,KRW,韓国,ソウル
1796236,CNY,中国,上海
1816670,CNY,中国,北京
1668341,TWD,台湾,台北
1609350,THB,タイ,バンコク
1821274,MOP,マカオ,マカオ
1819729,HKD,香港,香港
1880252,SGD,シンガポール,シンガポール
1735161,MYR,マレーシア,クアラルンプール
1566083,VND,ベトナム,ホーチミン
1821306,KHR,カンボジア,プノンペン
323786,TRY,トルコ,アンカラ
745044,TRY,トルコ,イスタンブール
1701668,PHP,フィリピン,マニラ
1692199,PHP,フィリピン,ケソン
1261481,INR,インド,ニューデリー
1275339,INR,インド,ムンバイ
1642911,IDR,インドネシア,ジャカルタ
2028462,MNT,モンゴル国,ウランバートル
1298824,MMK,ミャンマー,ヤンゴン
1248991,LKR,スリランカ,コロンボ
1238992,LKR,スリランカ,スリジャヤワルダナプラコッテ
1283240,NPR,ネパール,カトマンズ
290030,QAR,カタール,ドーハ
587084,AZN,アゼルバイジャン,バクー
292968,AED,アラブ首長国連邦,アブダビ
292223,AED,アラブ首長国連邦,ドバイ
